Date,Open,High,Low,Close,Volume
2-Feb-17,48.88,49.00,48.47,48.90,1352525
1-Feb-17,48.93,49.81,48.68,49.26,2244604
31-Jan-17,48.04,49.14,48.01,48.97,2552612
30-Jan-17,48.48,48.55,47.38,47.67,2266487
27-Jan-17,48.32,48.82,48.30,48.65,1527822
26-Jan-17,48.42,48.43,47.92,48.17,1895562
25-Jan-17,47.60,48.42,47.41,48.41,3073228
24-Jan-17,47.77,48.21,47.05,47.35,2741915
23-Jan-17,47.60,47.83,47.23,47.39,2013878
20-Jan-17,47.83,47.93,47.41,47.62,1701695
19-Jan-17,48.04,48.09,47.51,47.64,1346142
18-Jan-17,48.67,48.73,48.00,48.25,1523508
17-Jan-17,48.37,48.72,48.18,48.32,1939449
13-Jan-17,48.60,48.85,48.41,48.69,1568923
12-Jan-17,48.90,48.90,47.98,48.52,3276952
11-Jan-17,48.03,49.48,47.95,49.25,5624332
10-Jan-17,48.34,48.54,47.82,48.10,1560549
9-Jan-17,48.01,48.56,47.90,48.14,2575328
6-Jan-17,46.63,48.07,46.56,47.99,2883483
5-Jan-17,47.05,47.07,46.36,46.54,1503763
4-Jan-17,46.93,47.38,46.82,47.10,1821264
3-Jan-17,45.93,46.75,45.74,46.49,1739726
